state\\|e\e\|l\[A-Za-z]\|nz\[1-9]\|_\_\|0\0\|=\=\|<\<\|>\>\|;\;\|,\,\|.\\.\|:\:\|+\\+\|-\\-\|*\\*\|/\/\|(\\(\|)\\)\|{\\{\|}\\}\|[\\[\|]\\]\|nl\\n\|sp\\s\|token\\|back\\|error\\
1|2|2|40|39|43|9|10|11|12|13|14|15|16|17|18|26|20|21|22|23|24|25|1|1|FALSE|FALSE|FALSE
2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|FALSE|FALSE|FALSE
3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|id|TRUE|FALSE
4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|intNum|TRUE|FALSE
5|7|7|8|7|6|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|FALSE|FALSE|FALSE
6|28|28|8|28|8|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|FALSE|FALSE|FALSE
7|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|INVALIDFLOAT|FALSE|TRUE
8|44|28|8|28|8|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|28|FALSE|FALSE|FALSE
9|29|29|29|29|29|27|29|29|29|29|29|29|29|29|29|29|29|29|29|29|29|29|29|29|FALSE|FALSE|FALSE
10|42|42|42|42|42|30|42|31|42|42|42|42|42|42|42|42|42|42|42|42|42|42|42|42|FALSE|FALSE|FALSE
11|41|41|41|41|41|32|41|41|41|41|41|41|41|41|41|41|41|41|41|41|41|41|41|41|FALSE|FALSE|FALSE
12|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|;|FALSE|FALSE
13|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|,|FALSE|FALSE
14|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|.|FALSE|FALSE
15|34|34|34|34|34|34|34|34|34|34|34|33|34|34|34|34|34|34|34|34|34|34|34|34|FALSE|FALSE|FALSE
16|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|+|FALSE|FALSE
17|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|-|FALSE|FALSE
18|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|*|FALSE|FALSE
19|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|/|TRUE|FALSE
20|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|(|FALSE|FALSE
21|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|)|FALSE|FALSE
22|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|{|FALSE|FALSE
23|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|}|FALSE|FALSE
